fold,target,spearman_rho,p_value,alpha,n_test
0,HIC,0.4320771274202406,0.0012346239810214407,112.88378916846884,53
1,HIC,0.5839146656746518,1.3207483427760199e-05,233.57214690901213,48
2,HIC,0.37451477088503415,0.008728097813331413,233.57214690901213,48
3,HIC,0.3744845873117598,0.012265534335099207,483.2930238571752,44
4,HIC,0.4679950009880355,0.0006966233093005722,112.88378916846884,49
0,SMAC,0.01885956997662849,0.8933728030980164,483.2930238571752,53
1,SMAC,0.5535278998796841,4.488531089659771e-05,1000.0,48
2,SMAC,0.3223301915537439,0.025462756857021294,1000.0,48
3,SMAC,0.2604189227656251,0.08776776164020328,483.2930238571752,44
4,SMAC,0.4682762987114648,0.0006907672535792602,233.57214690901213,49
0,HAC,0.7115457441893589,0.00043453614698927054,233.57214690901213,20
1,HAC,0.7090829993720479,0.0006756697446018851,483.2930238571752,19
2,HAC,0.5789473684210527,0.011818464080461773,483.2930238571752,18
3,HAC,0.7902871896693118,0.0002691692202171963,483.2930238571752,16
4,HAC,0.725974025974026,0.00019486894429420642,233.57214690901213,21
0,PR_Ova,0.5801388050456577,2.954707557227419e-05,233.57214690901213,45
1,PR_Ova,0.31938393498330897,0.04455139942963841,233.57214690901213,40
2,PR_Ova,0.5694076443125224,0.0002896238565285044,233.57214690901213,36
3,PR_Ova,0.48415194883262647,0.0032088734008498673,233.57214690901213,35
4,PR_Ova,0.6191683637952311,1.5908161678834824e-05,233.57214690901213,41
0,PR_CHO,0.4564467016721625,0.0016241752962493385,233.57214690901213,45
1,PR_CHO,0.4090120339380668,0.00877939604876819,233.57214690901213,40
2,PR_CHO,0.4345095562440816,0.008096045951590917,233.57214690901213,36
3,PR_CHO,0.2566223475239952,0.13672171037968436,233.57214690901213,35
4,PR_CHO,0.49965220948613137,0.0008810166844889462,233.57214690901213,41
0,SEC %Monomer,-0.04971273066242864,0.7237114477279378,1000.0,53
1,SEC %Monomer,-0.17233424708493256,0.24148534963526933,1000.0,48
2,SEC %Monomer,0.22755401284901713,0.11983462322690064,1000.0,48
3,SEC %Monomer,0.054968287526427066,0.7230468225225258,1000.0,44
4,SEC %Monomer,0.2788775510204081,0.052326614135343646,1000.0,49
0,AC-SINS_pH6.0,0.39785765547277474,0.0031753819595856944,1000.0,53
1,AC-SINS_pH6.0,0.3124614696868606,0.030603359020356952,1000.0,48
2,AC-SINS_pH6.0,0.4152760151826994,0.003334529192076366,1000.0,48
3,AC-SINS_pH6.0,0.37977280838754235,0.011001172009406441,1000.0,44
4,AC-SINS_pH6.0,0.2745540502525647,0.05624519815072424,1000.0,49
0,AC-SINS_pH7.4,0.6253933091500051,5.540229021663256e-07,483.2930238571752,53
1,AC-SINS_pH7.4,0.22620931395360774,0.12209747520928914,233.57214690901213,48
2,AC-SINS_pH7.4,0.5343217905320723,9.164617534155536e-05,1000.0,48
3,AC-SINS_pH7.4,0.6417487679654307,2.6705698279188595e-06,1000.0,44
4,AC-SINS_pH7.4,0.5890557299191934,8.486413196325655e-06,483.2930238571752,49
0,Tm1,0.08657863145258103,0.549944476702535,1000.0,50
1,Tm1,-0.032563446313548766,0.829896081794394,1000.0,46
2,Tm1,0.12661116250385446,0.4017678608641062,1000.0,46
3,Tm1,0.3963354474982382,0.007736521418410153,1000.0,44
4,Tm1,0.055745535554086366,0.7066725367118712,1000.0,48
0,Tm2,0.054006968641115,0.7373506467857847,1000.0,41
1,Tm2,0.07976802713644819,0.6340338392922258,483.2930238571752,38
2,Tm2,-0.028449502133712654,0.8672554322200352,483.2930238571752,37
3,Tm2,0.2647145994810773,0.11334796077579098,1000.0,37
4,Tm2,0.301125703564728,0.05900123239630064,483.2930238571752,40
0,Titer,0.21633064797516452,0.119745189352914,483.2930238571752,53
1,Titer,0.39243255212024775,0.005801213847198503,1000.0,48
2,Titer,0.5037298404603615,0.000306716663875967,483.2930238571752,47
3,Titer,0.1941781806718474,0.20658410837778476,483.2930238571752,44
4,Titer,0.4334576620306716,0.0023377092830356707,1000.0,47
