target,LoRA_rho_mean,LoRA_rho_std,LoRA_n,Ridge_rho_mean,Ridge_rho_std,Ridge_n,pIgGen_rho
HAC,0.536,0.118,5.0,0.703,0.077,5,0.621
AC-SINS_pH7.4,0.448,0.156,5.0,0.523,0.171,5,0.394
PR_Ova,0.366,0.13,5.0,0.514,0.12,5,0.549
AC-SINS_pH6.0,0.303,0.087,5.0,0.356,0.06,5,
Titer,0.294,0.101,5.0,0.348,0.136,5,0.239
SMAC,0.169,0.252,5.0,0.325,0.207,5,0.207
HIC,0.158,0.109,5.0,0.447,0.086,5,0.335
Tm1,0.149,0.103,5.0,0.127,0.162,5,
PR_CHO,0.117,0.194,5.0,0.411,0.093,5,0.496
Tm2,0.099,0.174,5.0,0.134,0.142,5,-0.084
SEC %Monomer,,,,0.068,0.188,5,
